,address,city,cuisines,latitude,longitude,name,postalcode,websites
2052,4591 Mission St,San Francisco,Mexican Restaurants,37.724838536,-122.434583871,La Taqueria Menudo,94112,http://lacorneta.com
2105,6619 W 95th St,Oak Lawn,Latin American Restaurants,41.719193,-87.78579,Lucky Burrito,60453,
2106,6619 W 95th St,Oak Lawn,Latin American Restaurants,41.719193,-87.78579,Lucky Burrito,60453,
2107,3395 Nicholasville Rd,Lexington,Mexican Restaurants,37.989465679,-84.526470913,Abueloï¿½ï¿½ï¿½s,40503,http://abuelos.com
2108,3395 Nicholasville Rd,Lexington,Mexican Restaurants,37.989465679,-84.526470913,Abueloï¿½ï¿½ï¿½s,40503,http://abuelos.com
2116,5679 Snell Ave,San Jose,Latin American Restaurants,37.249406,-121.831098,Aqui Cal-Mex,95123,http://www.aquicalmex.com
2117,5679 Snell Ave,San Jose,Latin American Restaurants,37.249406,-121.831098,Aqui Cal-Mex,95123,http://www.aquicalmex.com
2118,305 W Rancier Ave,Killeen,Latin American Restaurants,31.127205,-97.73101,La Garita,76541,
2119,1680 S Melrose Dr,Vista,Mexican,33.166157,-117.24552,Junior's Taco Shop,92081,
2120,1680 S Melrose Dr,Vista,Mexican,33.166157,-117.24552,Junior's Taco Shop,92081,
2121,5 Webster St,Batavia,Mexican,41.848769,-88.306435,Andres Restaurant,60510,
2122,5 Webster St,Batavia,Mexican,41.848769,-88.306435,Andres Restaurant,60510,
2135,1319 George Dieter Dr,El Paso,Latin American Restaurants,31.723888,-106.30291,El Parque,79936,"http://elparquerestaurant.com,http://www.elparquerestaurant.com"
2136,1319 George Dieter Dr,El Paso,Latin American Restaurants,31.723888,-106.30291,El Parque,79936,"http://elparquerestaurant.com,http://www.elparquerestaurant.com"
2137,1319 George Dieter Dr,El Paso,Latin American Restaurants,31.723888,-106.30291,El Parque,79936,"http://elparquerestaurant.com,http://www.elparquerestaurant.com"
2138,1319 George Dieter Dr,El Paso,Latin American Restaurants,31.723888,-106.30291,El Parque,79936,"http://elparquerestaurant.com,http://www.elparquerestaurant.com"
2139,1319 George Dieter Dr,El Paso,Latin American Restaurants,31.723888,-106.30291,El Parque,79936,"http://elparquerestaurant.com,http://www.elparquerestaurant.com"
2140,1950 Westminster St,Providence,Mexican Restaurants,41.81672,-71.442535,La Lupita,2909,http://lalupitamex.com
